Term,Frequency
Transport,2
Strom,14
elektrifizierter,1
Bahntrassen,1
Interesse,11
dient,5
festschreiben,1
Projekte,11
gewissen,1
Regelvermutung,1
Vorliegen,1
Ausnahmevoraussetzungen,1
Bundesnaturschutzgesetzes,1
stärkere,5
Ausrichtung,4
Populationsschutz,2
Klärung,4
Verhältnisses,1
Arten,3
Unionsrecht,1
Ähnliche,1
Prüfungen,2
Genehmigungsverfahrens,1
integrierten,6
Prüfung,8
zusammenführen,4
gegebenenfalls,9
Öffnungsklauseln,1
Zusammenwirken,3
Gemeinden,5
Sicherstellung,4
begleitet,3
projektbezogene,1
gesamtbilanzierende,1
Ausgleichsmaßnahmen,1
hohen,11
Umwelt,18
Naturschutz,11
qualitativ,6
hochwertigen,3
Beschleunigungsvorhaben,1
ressortübergreifende,7
Steuerungsgruppe,1
einrichten,8
Digitale,12
Entfaltungsmöglichkeiten,1
ambitionierte,7
überprüfbare,2
Ziele,20
realistische,2
spürbare,2
ergreifen,10
geordnet,2
gebündelt,3
zentrales,1
zusätzliches,2
Digitalbudget,1
eingeführt,4
Digitalisierungscheck,1
unterzogen,1
bürgerorientiert,1
unternehmerische,1
Initiative,13
offene,5
Standards,35
Diversität,4
Digitalkompetenz,1
Grundrechte,1
Selbstbestimmung,3
technologischem,1
bewusst,2
fortschrittlichen,1
Digitaler,1
handhabbare,2
zeitgemäße,1
Leistungen,18
nutzerorientiert,1
medienbruchfrei,1
flächendeckend,7
Automation,1
Auszahlung,1
prioritär,6
Weiterentwicklung,23
Onlinezugangsgesetzes,1
OZG,2
ausreichenden,2
Folgefinanzierung,1
klare,9
Vereinheitlichung,2
EfA,2
unterstützt,8
Konsolidierung,1
Verantwortlichkeiten,2
Budgets,2
Bundes,39
zentral,3
Föderalen,1
FITKO,1
flexible,10
mehrjährigen,2
Globalbudget,1
Bundesmitteln,1
profitieren,3
Prinzips,1
entwickelte,1
Digitalisierungshemmnisse,1
Schriftform,1
bauen,43
Generalklausel,1
vereinheitlichen,3
Begriffe,1
Einkommen,7
vertrauenswürdiges,1
allgemein,3
anwendbares,1
Identitätsmanagement,1
verfassungsfeste,1
Registermodernisierung,1
schreiben,2
fest,11
Entwicklungsaufträge,1
Regel,6
Source,3
beauftragt,2
entsprechende,10
Software,1
grundsätzlich,8
Multi,2
Cloud,2
Strategie,19
offener,1
strenger,1
Transparenzvorgaben,1
fiber,1
to,2
the,1
home,1
FTTH,2
eigenwirtschaftliche,1
Vorrang,8
Insbesondere,9
Nachholbedarf,2
größten,4
weiße,1
Flecken,1
investieren,8
Wahrung,9
Investitionsschutzes,1
Access,3
fairen,17
nötig,10
regulatorisch,1
schlanke,1
Antrags,1
Normierung,1
alternativer,1
Verlegetechniken,1
Aufbau,22
bundesweiten,5
Gigabit,1
Grundbuchs,1
Verbraucherschutz,9
zugesicherten,1
Bandbreiten,1
nötigenfalls,3
pauschalierte,1
Schadensersatzansprüche,1
Potenzialanalysen,1
treiben,10
Glasfaserausbauförderung,1
Aufgreifschwelle,1
öffentlicher,4
Vollfinanzierung,1
Betreibermodell,1
rücken,1
Förderung,51
Cluster,2
Fokus,10
Markterkundungsverfahren,1
verbindlicher,3
stoßen,1
Ergänzung,2
Glasfaserverkabelung,1
Voucher,1
bündeln,15
Festnetz,1
Mobilfunk,3
richten,22
Frequenzvergabe,1
Vorgaben,12
Flächenversorgung,1
negative,1
Auktionen,1
besseren,11
WLAN,1
Empfang,1
Bahn,7
Netzneutralität,1
Bürgerrechte,6
Verschlüsselung,2
wirksames,2
Schwachstellenmanagement,2
Sicherheitslücken,5
schließen,20
security,1
by,2
design,2
default,1
verpflichtend,8
echter,2
verschlüsselter,1
Kommunikation,5
anbieten,2
Hersteller,5
haften,1
Schäden,1
fahrlässig,1
Produkten,4
verursacht,1
Cybersicherheitsstrategie,1
Sicherheitsrecht,2
weiterentwickelt,8
hinaus,12
Interoperabilität,4
Portabilität,2
Setzen,1
europäische,26
Ökosysteme,2
5G,1
KI,7
strukturellen,1
Umbau,3
Sicherheitsarchitektur,2
stellen,42
Bundesamt,4
Informationstechnik,3
BSI,2
unabhängiger,3
Stelle,6
Bereich,27
bekannte,1
melden,1
regelmäßig,8
externen,1
Überprüfung,6
Systeme,7
unterziehen,5
Identifizieren,1
Melden,1
Schließen,3
verantwortlichen,1
Sicherheitsforschung,1
legal,2
durchführbar,2
Hackbacks,1
Cyberabwehr,1
vertrauenswürdige,1
Unternehmen,42
kritischer,5
beteiligt,4
Datenrecht,1
Potenziale,12
heben,6
Dateninfrastrukturen,1
unterstützen,166
Instrumente,22
Datentreuhänder,1
Datendrehscheiben,1
Datenspenden,1
KMU,7
innovative,13
Geschäftsmodelle,8
Dateninstitut,1
Datenverfügbarkeit,1
standardisierung,1
Datentreuhändermodelle,1
Lizenzen,1
Gebietskörperschaften,1
