Term,Frequency
Energie,11
wertvolles,2
sparsam,1
effizient,2
umgehen,3
solange,2
fossiles,2
verbrennen,2
Gebäude,10
gedämmt,1
verbrauchsarme,1
elektrisch,1
betrieben,1
Industrieprozesse,1
Weitergabe,3
Nutzung,20
Abwärme,2
ordnungsrechtliche,1
Vorgaben,17
Strompreisvergünstigungen,1
Unternehmen,93
internationalen,34
Umsetzung,30
Energieeffizienzmaßnahmen,1
geknüpft,4
benötigt,6
schneller,9
100,8
Prozent,40
Erneuerbare,3
Klimaziele,4
sparen,2
Energieinfrastruktur,2
lohnt,4
ausrichten,18
Kreislaufwirtschaft,12
etablieren,5
wirtschaftlichen,7
Aufbruch,3
Corona,36
Modernisierung,14
zusammenbringen,1
Neubegründung,1
ehrgeizigen,2
Form,9
Grenzwerten,2
CO2,39
Reduktionszielen,1
Produktstandards,1
deutschen,34
europäischen,62
Planungssicherheit,6
Impulse,7
Investitionen,38
Faire,3
Preise,6
Forschung,34
Innovationen,12
Wirtschaften,7
stärker,42
fördern,101
Beschaffung,7
ressourcenschonendsten,1
verträglichsten,1
Produkte,21
Dienstleistungen,12
Spitzenreiterin,1
modernsten,3
Technologien,13
natürlichen,5
Grüne,4
vernetzte,3
Fahrzeuge,4
punktgenaue,1
Verteilung,5
regenerativer,1
intelligente,4
Bewässerung,1
Feldern,1
digitalen,42
datengetriebenen,1
Ressourcenverbrauch,3
reduzieren,14
Zukunftstechnologien,3
führend,2
Hierzu,5
priorisieren,1
digitale,36
Anwendungen,13
Lösungen,12
Beitrag,24
Ressourcenschonung,1
nachhaltiger,10
analoge,1
Rebound,1
Effekte,1
generell,2
vermeiden,7
Suffizienz,1
unterstützen,117
kritischen,5
Rohstoffen,4
seltene,2
Erden,1
menschenrechtskonforme,3
Gewinnung,2
Ausschreibungs,1
Beschaffungskriterien,1
anzupassen,2
möglichst,6
ökologisch,13
nachhaltige,36
vorrangig,5
Einsatz,30
IT,20
Beschaffungen,2
Bundes,16
Faktoren,1
Herstellerabhängigkeit,1
Folgebeschaffung,1
technische,7
Offenheit,4
Datenschutz,7
Reparaturfähigkeit,1
Nachhaltigkeit,14
Kriterien,14
zwingend,3
Bewertungen,1
einfließen,3
Zertifizierungen,2
Blaue,2
Engel,1
Standard,14
Rechen,1
Datencenter,1
nachhaltig,21
umstellen,2
betreiben,5
zertifizierte,1
umweltfreundliche,2
Hardware,4
einsetzen,33
Anreize,16
Stromverbrauch,1
Rechenzentren,2
einschließlich,3
Umstellung,4
Wasserkühlungssysteme,1
neutrale,1
guten,19
Bedingungen,20
ambitionierte,9
Klimaschutzpolitik,1
Umbau,7
beste,7
erhalten,50
stärkt,17
Wettbewerbsfähigkeit,3
hiesigen,1
Renaissance,1
Industriearbeitsplätzen,1
hunderttausende,2
Green,11
Handwerk,7
Bauwirtschaft,1
Industriebereichen,1
Batteriezellenproduktion,3
Wasserstoffindustrie,1
Dienstleistungsfeldern,1
Möglichkeit,29
Tarifvertrag,2
gleichwertigen,2
unterliegen,3
Förderung,48
Wirtschaftsfeldern,1
Sicher,3
Wandel,7
Qualifizierungs,3
Kurzarbeitergeld,4
sehen,7
Verpflichtung,7
Beschäftigten,15
klimaneutralen,9
Wirtschaftssystem,1
Jobprofile,1
grundlegend,4
verloren,7
ökologischen,24
Qualifizierung,10
einführen,35
Weiterbildungsgeld,2
Erwerbstätige,1
Qualifizierungsphasen,1
Absicherung,12
Phasen,2
Betrieb,7
halten,15
qualifizieren,2
Kurzarbeit,1
koppeln,1
eng,7
Sozialpartnerschaft,3
Zudem,26
betriebliche,4
Mitbestimmung,9
Entscheidungen,22
Gewerkschaften,6
Betriebsräte,4
Transformationsfonds,2
Regionen,32
industriell,1
geprägte,1
ansässigen,1
mittleren,5
regionale,16
auflegen,8
richtet,4
Strukturwandel,1
Standort,5
Region,12
verankert,6
bleiben,12
Regionale,6
Akteur,21
eingebunden,3
gemeinsame,33
Visionen,1
erarbeiten,7
wirtschaftlich,12
Gleichzeitig,19
Formate,4
Reallabore,3
Experimentierräume,2
Zivilgesellschaft,27
Herausforderungen,21
Ort,31
arbeiten,23
forschen,1
Sofortprogramm,4
Zentrale,1
Paris,3
Bericht,1
Weltklimarates,1
Limit,1
verdeutlicht,1
Zehntelgrad,2
zählt,5
Überschreiten,1
relevanten,6
Kipppunkten,1
Klimasystem,1
unmittelbares,1
substanzielles,1
nächsten,14
entscheidend,10
aktuell,2
lahmt,1
erneuerbaren,10
spät,1
Verkehrs,2
Gebäudesektor,1
voran,19
Gemäß,1
Klimaentscheidung,1
Bundesverfassungsgerichts,2
Sachverständigenrat,2
Umweltfragen,1
verweist,1
Klimapolitik,3
Budgetansatz,1
orientieren,11
Weltklimarat,1
beziffert,1
Budget,7
2018,1
67,2
prozentigen,1
Wahrscheinlichkeit,2
Zielerreichung,1
420,1
Gigatonnen,2
verbleibendes,1
nationales,4
Kohlenstoffbudget,1
2020,2
abgeleitet,1
fortdauernden,2
Emissionen,5
heutigem,1
Niveau,3
deutsche,17
verbraucht,1
linearen,1
Reduktion,7
längerer,1
Zeitverlauf,1
Treibhausgasneutralität,2
erfordert,3
überproportionale,1
Reduktionserfolge,1
Sektoren,4
wirksame,4
anstößt,1
Ausbauhindernisse,1
beseitigt,2
naheliegende,1
Einsparmöglichkeiten,1
umsetzt,3
Entwicklungspartnerschaften,2
Budgetansatzes,1
ungenügende,1
Klimaschutzgesetz,1
generationen,1
budgetgerecht,1
nachschärfen,2
jahres,1
sektorenscharf,1
ausbuchstabieren,1
Rolle,23
Expertenrates,1
Klimafragen,1
Klimaziel,1
2030,20
minus,1
70,2
anheben,7
klimaneutral,10
Klimagerechtes,1
belohnen,2
Effektiver,1
ökonomisch,2
lohnen,2
Derzeit,1
Schäden,9
Ausstoß,2
Tonne,3
gering,4
eingepreist,1
aktuellen,4
Berechnungen,1
Umweltbundesamtes,1
verursacht,4
Emission,1
195,1
Euro,36
nachhaltigsten,1
günstigsten,2
klugen,1
Mix,2
Anreizen,3
Ordnungsrecht,1
Abbau,5
umweltschädlichen,3
Subventionen,7
Bepreisung,3
unweigerlich,1
erheblichen,5
Unwuchten,1
könnten,3
rauskaufen,1
teilhaben,6
Instrument,12
wirksam,13
EU,181
Emissionshandelssystem,1
